neighborhood,year,new,old,continued
North Center,2016,22,497,295
North Center,2017,0,274,0
North Center,2018,0,74,0
North Lawndale,1998,0,2,0
North Lawndale,2001,0,4,0
North Lawndale,2002,118,41,0
North Lawndale,2003,119,112,66
North Lawndale,2004,106,104,125
North Lawndale,2005,128,97,167
North Lawndale,2006,95,112,204
North Lawndale,2007,82,77,222
North Lawndale,2008,84,111,229
North Lawndale,2009,80,39,271
North Lawndale,2010,85,145,238
North Lawndale,2011,72,39,284
North Lawndale,2012,108,130,257
North Lawndale,2013,68,46,315
North Lawndale,2014,78,139,279
North Lawndale,2015,60,60,287
North Lawndale,2016,14,263,133
North Lawndale,2017,0,118,0
North Lawndale,2018,0,38,0
North Park,1997,0,1,0
North Park,1999,0,1,0
North Park,2001,0,3,0
North Park,2002,85,18,0
North Park,2003,72,70,59
North Park,2004,76,74,97
North Park,2005,71,80,124
North Park,2006,78,82,142
North Park,2007,77,88,158
North Park,2008,62,13,221
North Park,2009,73,103,198
North Park,2010,46,29,250
North Park,2011,39,106,206
North Park,2012,82,33,217
North Park,2013,53,84,231
North Park,2014,42,36,255
North Park,2015,46,71,232
North Park,2016,10,84,202
North Park,2017,0,228,0
North Park,2018,0,35,0
Norwood Park,1996,0,2,0
Norwood Park,1998,0,1,0
Norwood Park,1999,0,1,0
Norwood Park,2000,0,2,0
Norwood Park,2001,0,3,0
Norwood Park,2002,88,26,0
Norwood Park,2003,73,84,64
Norwood Park,2004,75,70,113
Norwood Park,2005,69,106,137
Norwood Park,2006,81,82,163
Norwood Park,2007,53,59,195
Norwood Park,2008,59,41,222
Norwood Park,2009,67,59,233
Norwood Park,2010,46,71,242
Norwood Park,2011,58,41,256
Norwood Park,2012,87,58,265
Norwood Park,2013,48,53,304
Norwood Park,2014,43,62,307
Norwood Park,2015,43,63,303
Norwood Park,2016,14,241,176
Norwood Park,2017,0,195,0
Norwood Park,2018,0,37,0
O'Hare,2001,0,2,0
O'Hare,2002,39,18,0
O'Hare,2003,43,55,27
O'Hare,2004,53,49,53
O'Hare,2005,45,45,81
O'Hare,2006,45,49,102
O'Hare,2007,46,69,105
O'Hare,2008,41,34,129
O'Hare,2009,50,46,132
O'Hare,2010,34,66,140
O'Hare,2011,33,31,154
O'Hare,2012,51,56,142
O'Hare,2013,29,48,149
O'Hare,2014,22,51,143
O'Hare,2015,20,28,141
O'Hare,2016,7,115,73
O'Hare,2017,0,82,0
O'Hare,2018,0,28,0
Oakland,2002,2,0,0
Oakland,2003,12,5,1
Oakland,2004,8,3,11
Oakland,2005,7,12,11
Oakland,2006,3,10,9
Oakland,2007,2,5,9
Oakland,2008,7,2,9
Oakland,2009,12,10,9
Oakland,2010,4,7,15
Oakland,2011,4,8,10
Oakland,2012,6,1,13
Oakland,2013,9,6,14
Oakland,2014,13,12,18
Oakland,2015,11,12,14
Oakland,2016,3,7,15
Oakland,2017,0,14,0
Oakland,2018,0,5,0
Old Town,1998,0,1,0
Old Town,1999,0,1,0
Old Town,2000,0,1,0
Old Town,2001,0,1,0
Old Town,2002,76,8,0
Old Town,2003,82,59,61
Old Town,2004,107,77,105
Old Town,2005,64,91,149
Old Town,2006,79,77,156
Old Town,2007,112,132,174
Old Town,2008,118,103,208
Old Town,2009,116,104,222
Old Town,2010,104,117,227
Old Town,2011,122,108,236
Old Town,2012,125,116,248
Old Town,2013,104,90,286
Old Town,2014,107,133,274
Old Town,2015,84,77,288
Old Town,2016,8,133,242
Old Town,2017,0,223,0
Old Town,2018,0,122,0
Portage Park,1996,0,2,0
Portage Park,1997,0,1,0
Portage Park,1998,0,2,0
Portage Park,1999,0,3,0
Portage Park,2000,0,1,0
Portage Park,2001,0,3,0
Portage Park,2002,233,65,0
Portage Park,2003,202,207,143
Portage Park,2004,248,228,225
Portage Park,2005,195,240,324
Portage Park,2006,177,187,396
Portage Park,2007,156,238,409
Portage Park,2008,123,20,533
Portage Park,2009,124,305,431
Portage Park,2010,117,32,527
Portage Park,2011,112,236,471
Portage Park,2012,228,68,523
Portage Park,2013,128,223,576
Portage Park,2014,167,96,617
Portage Park,2015,116,182,634
Portage Park,2016,27,198,554
Portage Park,2017,0,687,0
Portage Park,2018,0,80,0
Printers Row,2001,0,5,0
Printers Row,2002,21,8,0
Printers Row,2003,13,14,14
Printers Row,2004,14,17,16
Printers Row,2005,16,13,24
Printers Row,2006,6,16,26
Printers Row,2007,12,11,26
Printers Row,2008,23,8,33
Printers Row,2009,13,4,48
Printers Row,2010,8,25,44
Printers Row,2011,13,2,49
Printers Row,2012,19,19,45
Printers Row,2013,10,8,59
Printers Row,2014,9,15,53
Printers Row,2015,11,7,57
Printers Row,2016,4,56,24
Printers Row,2017,0,22,0
Printers Row,2018,0,7,0
Pullman,2001,0,1,0
Pullman,2002,27,15,0
Pullman,2003,38,22,14
Pullman,2004,26,22,35
Pullman,2005,24,32,36
Pullman,2006,19,13,47
Pullman,2007,18,13,56
Pullman,2008,11,2,72
Pullman,2009,21,28,64
Pullman,2010,17,8,80
Pullman,2011,28,53,54
Pullman,2012,17,6,73
Pullman,2013,11,27,64
Pullman,2014,21,9,67
Pullman,2015,13,15,75
Pullman,2016,1,34,61
Pullman,2017,0,72,0
Pullman,2018,0,5,0
River North,1996,0,1,0
River North,1997,0,4,0
River North,1998,0,8,0
River North,2000,0,5,0
River North,2001,0,5,0
River North,2002,249,40,0
River North,2003,383,324,214
River North,2004,415,289,493
River North,2005,361,357,729
River North,2006,294,348,895
River North,2007,321,379,935
River North,2008,556,336,1027
River North,2009,262,135,1480
River North,2010,288,664,1304
River North,2011,420,141,1472
River North,2012,446,658,1431
River North,2013,350,305,1618
River North,2014,350,569,1536
River North,2015,352,370,1533
River North,2016,60,1049,982
River North,2017,0,644,0
River North,2018,0,678,0
Riverdale,2002,13,2,0
Riverdale,2003,9,9,7
Riverdale,2004,11,12,9
Riverdale,2005,2,12,12
Riverdale,2006,4,8,10
Riverdale,2007,4,6,10
Riverdale,2008,4,3,10
Riverdale,2009,2,4,10
Riverdale,2010,3,5,10
Riverdale,2011,7,6,12
Riverdale,2012,14,4,14
Riverdale,2013,1,3,25
Riverdale,2014,4,2,25
Riverdale,2015,2,5,25
Riverdale,2016,1,25,11
Riverdale,2017,0,6,0
Riverdale,2018,0,7,0
Rogers Park,1998,0,2,0
Rogers Park,2000,0,2,0
Rogers Park,2001,0,9,0
Rogers Park,2002,187,87,0
Rogers Park,2003,178,177,91
Rogers Park,2004,218,205,143
Rogers Park,2005,150,169,222
Rogers Park,2006,177,189,231
Rogers Park,2007,148,172,276
Rogers Park,2008,144,122,316
Rogers Park,2009,165,85,386
Rogers Park,2010,133,204,386
Rogers Park,2011,131,104,410
Rogers Park,2012,181,191,368
Rogers Park,2013,137,114,448
Rogers Park,2014,154,183,434
Rogers Park,2015,141,118,463
Rogers Park,2016,29,407,261
Rogers Park,2017,0,257,0
Rogers Park,2018,0,57,0
Roseland,1997,0,1,0
Roseland,1998,0,3,0
Roseland,1999,0,1,0
Roseland,2001,0,5,0
Roseland,2002,172,100,0
Roseland,2003,141,154,77
Roseland,2004,123,131,129
Roseland,2005,111,125,162
Roseland,2006,98,123,172
Roseland,2007,90,91,188
Roseland,2008,87,17,255
Roseland,2009,79,149,232
Roseland,2010,99,37,269
Roseland,2011,57,133,262
Roseland,2012,102,58,270
Roseland,2013,76,129,276
Roseland,2014,74,72,287
Roseland,2015,64,114,268
Roseland,2016,16,130,213
Roseland,2017,0,253,0
Roseland,2018,0,39,0
Rush & Division,2000,0,1,0
Rush & Division,2001,0,3,0
Rush & Division,2002,58,8,0
Rush & Division,2003,53,59,45
Rush & Division,2004,44,46,72
Rush & Division,2005,54,60,85
Rush & Division,2006,50,51,111
Rush & Division,2007,56,66,124
Rush & Division,2008,37,41,144
Rush & Division,2009,38,44,148
Rush & Division,2010,33,44,147
Rush & Division,2011,53,21,163
Rush & Division,2012,42,52,170
Rush & Division,2013,46,40,178
Rush & Division,2014,33,40,190
Rush & Division,2015,41,47,186
Rush & Division,2016,14,93,148
Rush & Division,2017,0,134,0
Rush & Division,2018,0,74,0
"Sauganash,Forest Glen",1997,0,1,0
"Sauganash,Forest Glen",1998,0,1,0
"Sauganash,Forest Glen",2000,0,1,0
"Sauganash,Forest Glen",2001,0,2,0
"Sauganash,Forest Glen",2002,56,19,0
"Sauganash,Forest Glen",2003,46,52,39
"Sauganash,Forest Glen",2004,62,47,62
"Sauganash,Forest Glen",2005,57,73,91
"Sauganash,Forest Glen",2006,58,43,111
"Sauganash,Forest Glen",2007,49,50,128
"Sauganash,Forest Glen",2008,62,70,139
"Sauganash,Forest Glen",2009,34,28,170
"Sauganash,Forest Glen",2010,45,68,158
"Sauganash,Forest Glen",2011,43,35,173
"Sauganash,Forest Glen",2012,70,61,169
"Sauganash,Forest Glen",2013,26,35,210
"Sauganash,Forest Glen",2014,36,67,186
"Sauganash,Forest Glen",2015,31,28,192
"Sauganash,Forest Glen",2016,12,192,86
"Sauganash,Forest Glen",2017,0,93,0
"Sauganash,Forest Glen",2018,0,25,0
Sheffield & DePaul,1997,0,1,0
Sheffield & DePaul,1999,0,2,0
Sheffield & DePaul,2001,0,2,0
Sheffield & DePaul,2002,40,1,0
Sheffield & DePaul,2003,46,35,33
Sheffield & DePaul,2004,51,40,63
Sheffield & DePaul,2005,43,46,84
Sheffield & DePaul,2006,34,59,83
Sheffield & DePaul,2007,56,57,94
Sheffield & DePaul,2008,74,53,120
Sheffield & DePaul,2009,79,113,97
Sheffield & DePaul,2010,61,44,128
Sheffield & DePaul,2011,73,94,109
Sheffield & DePaul,2012,68,46,132
Sheffield & DePaul,2013,59,73,127
Sheffield & DePaul,2014,56,55,134
Sheffield & DePaul,2015,49,62,121
Sheffield & DePaul,2016,2,28,123
Sheffield & DePaul,2017,0,149,0
Sheffield & DePaul,2018,0,17,0
South Chicago,1998,0,1,0
South Chicago,2000,0,1,0
South Chicago,2001,0,3,0
South Chicago,2002,122,23,0
South Chicago,2003,102,117,71
South Chicago,2004,102,84,114
South Chicago,2005,91,105,143
South Chicago,2006,81,84,171
South Chicago,2007,73,77,181
South Chicago,2008,60,90,188
South Chicago,2009,65,23,229
South Chicago,2010,45,130,191
South Chicago,2011,80,32,219
South Chicago,2012,77,120,187
South Chicago,2013,51,44,218
South Chicago,2014,50,99,191
South Chicago,2015,40,54,190
South Chicago,2016,12,199,80
South Chicago,2017,0,73,0
South Chicago,2018,0,24,0
South Deering,1998,0,1,0
South Deering,2000,0,2,0
South Deering,2001,0,3,0
South Deering,2002,33,9,0
South Deering,2003,45,47,24
South Deering,2004,31,33,48
South Deering,2005,38,35,63
South Deering,2006,50,41,73
South Deering,2007,49,44,89
South Deering,2008,28,29,116
South Deering,2009,37,19,127
South Deering,2010,29,55,121
South Deering,2011,42,23,131
South Deering,2012,44,50,140
South Deering,2013,26,26,161
South Deering,2014,31,40,151
South Deering,2015,22,32,152
South Deering,2016,5,131,78
South Deering,2017,0,70,0
South Deering,2018,0,20,0
South Shore,1996,0,1,0
South Shore,1998,0,1,0
South Shore,1999,0,1,0
South Shore,2000,0,2,0
South Shore,2001,0,5,0
South Shore,2002,186,19,0
South Shore,2003,197,207,90
South Shore,2004,179,161,186
South Shore,2005,179,213,221
South Shore,2006,165,192,249
South Shore,2007,134,161,278
South Shore,2008,102,178,286
South Shore,2009,106,56,324
South Shore,2010,99,185,286
South Shore,2011,91,52,335
South Shore,2012,133,175,272
South Shore,2013,94,75,331
South Shore,2014,76,127,330
South Shore,2015,82,82,323
South Shore,2016,23,303,162
South Shore,2017,0,159,0
South Shore,2018,0,54,0
Streeterville,1996,0,1,0
Streeterville,1997,0,1,0
Streeterville,1998,0,1,0
Streeterville,1999,0,1,0
Streeterville,2000,0,2,0
Streeterville,2001,0,4,0
Streeterville,2002,104,24,0
Streeterville,2003,101,97,73
Streeterville,2004,123,68,139
Streeterville,2005,102,82,222
Streeterville,2006,75,96,265
Streeterville,2007,90,117,279
Streeterville,2008,132,20,350
Streeterville,2009,89,151,375
Streeterville,2010,102,39,443
Streeterville,2011,220,210,404
Streeterville,2012,140,83,521
Streeterville,2013,102,198,490
Streeterville,2014,113,99,502
Streeterville,2015,107,160,471
Streeterville,2016,31,230,354
Streeterville,2017,0,432,0
Streeterville,2018,0,59,0
Ukrainian Village,1999,0,1,0
Ukrainian Village,2000,0,2,0
Ukrainian Village,2001,0,3,0
Ukrainian Village,2002,49,17,0
Ukrainian Village,2003,39,43,27
Ukrainian Village,2004,38,35,45
Ukrainian Village,2005,35,47,54
Ukrainian Village,2006,62,40,59
Ukrainian Village,2007,43,58,67
Ukrainian Village,2008,25,40,77
Ukrainian Village,2009,30,11,91
Ukrainian Village,2010,52,72,76
Ukrainian Village,2011,51,18,112
Ukrainian Village,2012,50,55,118
Ukrainian Village,2013,36,26,131
Ukrainian Village,2014,37,47,130
Ukrainian Village,2015,24,29,134
Ukrainian Village,2016,9,131,56
Ukrainian Village,2017,0,52,0
Ukrainian Village,2018,0,12,0
United Center,1999,0,1,0
United Center,2000,0,1,0
United Center,2001,0,2,0
United Center,2002,53,21,0
United Center,2003,52,46,36
United Center,2004,63,47,61
United Center,2005,58,56,90
United Center,2006,54,48,114
United Center,2007,42,43,125
United Center,2008,60,54,138
United Center,2009,67,16,170
United Center,2010,84,101,158
United Center,2011,118,24,223
United Center,2012,70,110,244
United Center,2013,89,73,247
United Center,2014,90,119,253
United Center,2015,92,101,252
United Center,2016,21,248,156
United Center,2017,0,149,0
United Center,2018,0,42,0
Uptown,1996,0,1,0
Uptown,1997,0,1,0
Uptown,1998,0,1,0
Uptown,1999,0,1,0
Uptown,2001,0,4,0
Uptown,2002,246,57,0
Uptown,2003,214,207,149
Uptown,2004,194,214,241
Uptown,2005,228,265,272
Uptown,2006,170,194,354
Uptown,2007,139,180,379
Uptown,2008,138,48,487
Uptown,2009,144,204,465
Uptown,2010,127,77,549
Uptown,2011,163,229,506
Uptown,2012,219,133,568
Uptown,2013,165,232,596
Uptown,2014,152,125,635
Uptown,2015,127,232,592
Uptown,2016,26,265,456
Uptown,2017,0,555,0
Uptown,2018,0,73,0
Washington Heights,1997,0,1,0
Washington Heights,1999,0,1,0
Washington Heights,2001,0,2,0
Washington Heights,2002,72,35,0
Washington Heights,2003,61,69,30
Washington Heights,2004,76,60,53
Washington Heights,2005,75,68,78
Washington Heights,2006,60,63,104
Washington Heights,2007,57,59,109
Washington Heights,2008,40,25,145
Washington Heights,2009,42,73,125
Washington Heights,2010,39,35,133
Washington Heights,2011,45,57,134
Washington Heights,2012,60,41,150
Washington Heights,2013,30,62,156
Washington Heights,2014,40,38,154
Washington Heights,2015,39,45,152
Washington Heights,2016,19,94,113
Washington Heights,2017,0,138,0
Washington Heights,2018,0,27,0
Washington Park,2002,33,11,0
Washington Park,2003,19,24,17
Washington Park,2004,19,27,25
Washington Park,2005,23,17,31
Washington Park,2006,33,40,33
Washington Park,2007,35,36,35
Washington Park,2008,19,27,51
Washington Park,2009,26,24,51
Washington Park,2010,26,29,56
Washington Park,2011,22,19,63
Washington Park,2012,23,32,59
Washington Park,2013,22,14,70
Washington Park,2014,22,25,67
Washington Park,2015,17,32,61
Washington Park,2016,6,54,32
Washington Park,2017,0,36,0
Washington Park,2018,0,9,0
West Elsdon,1999,0,1,0
West Elsdon,2000,0,1,0
West Elsdon,2002,62,14,0
West Elsdon,2003,49,49,46
West Elsdon,2004,59,49,70
West Elsdon,2005,50,52,97
West Elsdon,2006,62,57,110
West Elsdon,2007,55,53,129
West Elsdon,2008,33,6,175
West Elsdon,2009,39,84,144
West Elsdon,2010,39,12,171
West Elsdon,2011,35,58,160
West Elsdon,2012,49,19,176
West Elsdon,2013,31,68,167
West Elsdon,2014,39,31,170
West Elsdon,2015,37,56,162
West Elsdon,2016,7,53,147
West Elsdon,2017,0,180,0
West Elsdon,2018,0,28,0
West Lawn,1996,0,1,0
West Lawn,1997,0,1,0
West Lawn,1998,0,1,0
West Lawn,1999,0,1,0
West Lawn,2000,0,2,0
West Lawn,2001,0,4,0
West Lawn,2002,134,49,0
West Lawn,2003,124,122,71
West Lawn,2004,116,119,109
West Lawn,2005,117,120,142
West Lawn,2006,119,124,169
West Lawn,2007,114,117,188
West Lawn,2008,97,14,276
West Lawn,2009,115,196,227
West Lawn,2010,85,14,322
West Lawn,2011,81,158,289
West Lawn,2012,108,40,332
West Lawn,2013,72,134,332
West Lawn,2014,70,68,338
West Lawn,2015,78,120,309
West Lawn,2016,11,122,275
West Lawn,2017,0,328,0
West Lawn,2018,0,40,0
West Loop,1996,0,2,0
West Loop,1997,0,2,0
West Loop,1998,0,4,0
West Loop,1999,0,4,0
West Loop,2000,0,7,0
West Loop,2001,0,13,0
West Loop,2002,271,48,0
West Loop,2003,212,234,217
West Loop,2004,275,218,339
West Loop,2005,203,217,508
West Loop,2006,228,223,584
West Loop,2007,360,290,664
West Loop,2008,308,255,828
West Loop,2009,290,230,964
West Loop,2010,311,358,955
West Loop,2011,335,228,1081
West Loop,2012,375,451,1083
West Loop,2013,347,301,1190
West Loop,2014,369,454,1161
West Loop,2015,310,277,1215
West Loop,2016,74,892,764
West Loop,2017,0,657,0
West Loop,2018,0,360,0
West Pullman,1997,0,1,0
West Pullman,1998,0,1,0
West Pullman,1999,0,1,0
West Pullman,2001,0,4,0
West Pullman,2002,79,40,0
West Pullman,2003,66,72,41
West Pullman,2004,69,81,52
West Pullman,2005,69,67,70
West Pullman,2006,64,68,90
West Pullman,2007,50,55,92
West Pullman,2008,53,4,135
West Pullman,2009,39,95,118
West Pullman,2010,52,14,139
West Pullman,2011,42,78,131
West Pullman,2012,62,22,153
West Pullman,2013,25,66,156
West Pullman,2014,24,27,156
West Pullman,2015,30,50,136
West Pullman,2016,10,43,124
West Pullman,2017,0,139,0
West Pullman,2018,0,16,0
West Ridge,1996,0,1,0
West Ridge,1998,0,1,0
West Ridge,1999,0,3,0
West Ridge,2000,0,1,0
West Ridge,2001,0,11,0
West Ridge,2002,257,61,0
West Ridge,2003,246,226,177
West Ridge,2004,266,255,290
West Ridge,2005,221,286,372
West Ridge,2006,204,253,406
West Ridge,2007,207,244,446
West Ridge,2008,162,14,638
West Ridge,2009,213,370,524
West Ridge,2010,162,35,714
West Ridge,2011,168,355,589
West Ridge,2012,216,53,706
West Ridge,2013,159,291,694
West Ridge,2014,111,95,762
West Ridge,2015,141,244,666
West Ridge,2016,28,192,629
West Ridge,2017,0,769,0
West Ridge,2018,0,91,0
West Town,1997,0,2,0
West Town,1998,0,3,0
West Town,2000,0,1,0
West Town,2001,0,6,0
West Town,2002,170,62,0
West Town,2003,178,176,98
West Town,2004,206,180,194
West Town,2005,210,172,289
West Town,2006,195,187,390
West Town,2007,206,182,432
West Town,2008,160,209,491
West Town,2009,187,37,597
West Town,2010,189,325,565
West Town,2011,180,90,648
West Town,2012,208,266,608
West Town,2013,197,144,687
West Town,2014,168,274,644
West Town,2015,170,139,652
West Town,2016,27,696,333
West Town,2017,0,284,0
West Town,2018,0,105,0
Wicker Park,1996,0,2,0
Wicker Park,1997,0,2,0
Wicker Park,1998,0,1,0
Wicker Park,1999,0,1,0
Wicker Park,2000,0,2,0
Wicker Park,2001,0,5,0
Wicker Park,2002,158,49,0
Wicker Park,2003,169,125,103
Wicker Park,2004,127,175,180
Wicker Park,2005,136,147,203
Wicker Park,2006,137,137,242
Wicker Park,2007,142,136,275
Wicker Park,2008,155,117,340
Wicker Park,2009,150,135,386
Wicker Park,2010,137,153,393
Wicker Park,2011,163,115,427
Wicker Park,2012,177,179,451
Wicker Park,2013,198,166,498
Wicker Park,2014,167,175,514
Wicker Park,2015,143,163,514
Wicker Park,2016,35,377,302
Wicker Park,2017,0,294,0
Wicker Park,2018,0,79,0
Woodlawn,1997,0,1,0
Woodlawn,2000,0,1,0
Woodlawn,2001,0,1,0
Woodlawn,2002,63,16,0
Woodlawn,2003,79,67,36
Woodlawn,2004,78,97,59
Woodlawn,2005,55,64,80
Woodlawn,2006,68,65,83
Woodlawn,2007,63,56,100
Woodlawn,2008,58,7,155
Woodlawn,2009,47,99,128
Woodlawn,2010,49,19,156
Woodlawn,2011,28,70,146
Woodlawn,2012,38,30,148
Woodlawn,2013,38,58,136
Woodlawn,2014,24,23,152
Woodlawn,2015,48,60,124
Woodlawn,2016,9,43,130
Woodlawn,2017,0,153,0
Woodlawn,2018,0,13,0
Wrigleyville,2002,25,5,0
Wrigleyville,2003,24,22,13
Wrigleyville,2004,34,25,28
Wrigleyville,2005,21,34,45
Wrigleyville,2006,22,15,55
Wrigleyville,2007,28,29,60
Wrigleyville,2008,36,19,78
Wrigleyville,2009,27,24,93
Wrigleyville,2010,29,50,80
Wrigleyville,2011,35,24,96
Wrigleyville,2012,33,44,97
Wrigleyville,2013,26,22,103
Wrigleyville,2014,14,17,104
Wrigleyville,2015,14,15,104
Wrigleyville,2016,10,111,44
Wrigleyville,2017,0,50,0
Wrigleyville,2018,0,11,0
